12,0,JointId.Head,<x=-0.38138842582702637, y=0.6990258693695068, z=1.7710522413253784, w=1.0>
12,0,JointId.HipCenter,<x=-0.3796408176422119, y=0.05604048818349838, z=1.6935324668884277, w=1.0>
12,0,JointId.Spine,<x=-0.39939382672309875, y=0.11592470109462738, z=1.755745530128479, w=1.0>
12,0,JointId.ShoulderCenter,<x=-0.4130494296550751, y=0.49540144205093384, z=1.7885282039642334, w=1.0>
12,0,JointId.Head,<x=-0.38138842582702637, y=0.6990258693695068, z=1.7710522413253784, w=1.0>
 12,0,JointId.Head,<x=-0.38138842582702637, y=0.6990258693695068, z=1.7710522413253784, w=1.0>
12,0,JointId.HipCenter,<x=-0.3796408176422119, y=0.05604048818349838, z=1.6935324668884277, w=1.0>
12,0,JointId.ShoulderCenter,<x=-0.4130494296550751, y=0.49540144205093384, z=1.7885282039642334, w=1.0>
12,0,JointId.Spine,<x=-0.39939382672309875, y=0.11592470109462738, z=1.755745530128479, w=1.0>
12,0,JointId.ShoulderLeft,<x=-0.5629509687423706, y=0.3593142628669739, z=1.7229098081588745, w=1.0>
12,0,JointId.ShoulderCenter,<x=-0.4130494296550751, y=0.49540144205093384, z=1.7885282039642334, w=1.0>
12,0,JointId.ElbowLeft,<x=-0.6246290802955627, y=0.08615314215421677, z=1.6407089233398438, w=1.0>
12,0,JointId.Head,<x=-0.38138842582702637, y=0.6990258693695068, z=1.7710522413253784, w=1.0>
12,0,JointId.WristLeft,<x=-0.5944640040397644, y=-0.12628424167633057, z=1.5212630033493042, w=1.0>
12,0,JointId.ShoulderCenter,<x=-0.4130494296550751, y=0.49540144205093384, z=1.7885282039642334, w=1.0>
12,0,JointId.HandLeft,<x=-0.5584126114845276, y=-0.1975468397140503, z=1.4737910032272339, w=1.0>
 12,0,JointId.ShoulderLeft,<x=-0.5629509687423706, y=0.3593142628669739, z=1.7229098081588745, w=1.0>
12,0,JointId.ShoulderCenter,<x=-0.4130494296550751, y=0.49540144205093384, z=1.7885282039642334, w=1.0>
12,0,JointId.ElbowLeft,<x=-0.6246290802955627, y=0.08615314215421677, z=1.6407089233398438, w=1.0>
12,0,JointId.ShoulderRight,<x=-0.24392734467983246, y=0.39417436718940735, z=1.8241448402404785, w=1.0>
12,0,JointId.WristLeft,<x=-0.5944640040397644, y=-0.12628424167633057, z=1.5212630033493042, w=1.0>
12,0,JointId.ElbowRight,<x=-0.15045826137065887, y=0.13712045550346375, z=1.8398072719573975, w=1.0>
12,0,JointId.HandLeft,<x=-0.5584126114845276, y=-0.1975468397140503, z=1.4737910032272339, w=1.0>
12,0,JointId.WristRight,<x=-0.07461727410554886, y=-0.04799449443817139, z=1.6948306560516357, w=1.0>
12,0,JointId.ShoulderCenter,<x=-0.4130494296550751, y=0.49540144205093384, z=1.7885282039642334, w=1.0>
12,0,JointId.HandRight,<x=-0.062368836253881454, y=-0.11364380270242691, z=1.6302411556243896, w=1.0>
12,0,JointId.ShoulderRight,<x=-0.24392734467983246, y=0.39417436718940735, z=1.8241448402404785, w=1.0>
12,0,JointId.HipCenter,<x=-0.3796408176422119, y=0.05604048818349838, z=1.6935324668884277, w=1.0>
12,0,JointId.ElbowRight,<x=-0.15045826137065887, y=0.13712045550346375, z=1.8398072719573975, w=1.0>
12,0,JointId.HipLeft,<x=-0.44582515954971313, y=-0.02539641410112381, z=1.6513785123825073, w=1.0>
12,0,JointId.WristRight,<x=-0.07461727410554886, y=-0.04799449443817139, z=1.6948306560516357, w=1.0>
12,0,JointId.KneeLeft,<x=-0.48231473565101624, y=-0.46797817945480347, z=1.6458367109298706, w=1.0>
12,0,JointId.HandRight,<x=-0.062368836253881454, y=-0.11364380270242691, z=1.6302411556243896, w=1.0>
12,0,JointId.AnkleLeft,<x=-0.5181283354759216, y=-0.8010635375976562, z=1.6150544881820679, w=1.0>12,0,JointId.HipCenter,<x=-0.3796408176422119, y=0.05604048818349838, z=1.6935324668884277, w=1.0>

12,0,JointId.HipLeft,<x=-0.44582515954971313, y=-0.02539641410112381, z=1.6513785123825073, w=1.0>12,0,JointId.FootLeft,<x=-0.49934902787208557, y=-0.8426399230957031, z=1.5249611139297485, w=1.0>

12,0,JointId.HipCenter,<x=-0.3796408176422119, y=0.05604048818349838, z=1.6935324668884277, w=1.0>
12,0,JointId.KneeLeft,<x=-0.48231473565101624, y=-0.46797817945480347, z=1.6458367109298706, w=1.0>
12,0,JointId.HipRight,<x=-0.3022645115852356, y=-0.009709366597235203, z=1.6990684270858765, w=1.0>
12,0,JointId.AnkleLeft,<x=-0.5181283354759216, y=-0.8010635375976562, z=1.6150544881820679, w=1.0>
12,0,JointId.KneeRight,<x=-0.2572769224643707, y=-0.4043313264846802, z=1.5594866275787354, w=1.0>12,0,JointId.FootLeft,<x=-0.49934902787208557, y=-0.8426399230957031, z=1.5249611139297485, w=1.0>

12,0,JointId.HipCenter,<x=-0.3796408176422119, y=0.05604048818349838, z=1.6935324668884277, w=1.0>
12,0,JointId.AnkleRight,<x=-0.24768295884132385, y=-0.715583324432373, z=1.3462368249893188, w=1.0>
12,0,JointId.HipRight,<x=-0.3022645115852356, y=-0.009709366597235203, z=1.6990684270858765, w=1.0>
12,0,JointId.FootRight,<x=-0.2237974852323532, y=-0.7228125929832458, z=1.2483834028244019, w=1.0>
12,0,JointId.KneeRight,<x=-0.2572769224643707, y=-0.4043313264846802, z=1.5594866275787354, w=1.0>
12,0,JointId.AnkleRight,<x=-0.24768295884132385, y=-0.715583324432373, z=1.3462368249893188, w=1.0>
12,0,JointId.FootRight,<x=-0.2237974852323532, y=-0.7228125929832458, z=1.2483834028244019, w=1.0>
24,0,JointId.Head,<x=-0.38138842582702637, y=0.6990258693695068, z=1.7710522413253784, w=1.0>
24,0,JointId.HipCenter,<x=-0.3796408176422119, y=0.05604048818349838, z=1.6935324668884277, w=1.0>
24,0,JointId.Spine,<x=-0.39939382672309875, y=0.11592470109462738, z=1.755745530128479, w=1.0>
24,0,JointId.ShoulderCenter,<x=-0.4130494296550751, y=0.49540144205093384, z=1.7885282039642334, w=1.0>
24,0,JointId.Head,<x=-0.38138842582702637, y=0.6990258693695068, z=1.7710522413253784, w=1.0>
